Номер_куба,0,1,2,3,4,5,6
4,0.0,0.0,0.65,0.35,0.0,0.0,0.0
5,0.0,0.0,0.0,0.3,0.0,0.2,0.5
3,0.0,0.0,0.7,0.0,0.3,0.0,0.0
1,0.0,0.0,0.0,0.8,0.0,0.2,0.0
5,0.0,0.0,0.4,0.0,0.0,0.1,0.5
1,0.0,0.0,0.5,0.2,0.0,0.3,0.0
2,0.0,0.0,0.0,0.0,0.2,0.0,0.8
1,0.0,0.0,0.8,0.2,0.0,0.0,0.0
0,0.5,0.0,0.0,0.0,0.3,0.2,0.0
2,0.0,0.0,0.0,0.8,0.0,0.0,0.2
5,0.0,0.0,0.0,0.0,0.3,0.0,0.7
5,0.0,0.0,0.0,0.0,0.0,0.15,0.85
5,0.0,0.0,0.6,0.0,0.0,0.0,0.4
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.5,0.0,0.0,0.0,0.0,0.0,0.5
3,0.0,0.0,0.5,0.0,0.4,0.1,0.0
1,0.0,0.0,0.0,0.3,0.0,0.7,0.0
4,0.0,0.0,0.75,0.0,0.0,0.0,0.25
4,0.0,0.0,0.3,0.7,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.7,0.3
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.4,0.0,0.0,0.0,0.0,0.6
5,0.0,0.0,0.85,0.0,0.0,0.0,0.15
1,0.0,0.0,0.0,0.4,0.0,0.6,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.4,0.0,0.2,0.0,0.0,0.4
3,0.0,0.0,0.0,0.0,0.6,0.4,0.0
2,0.0,0.0,0.0,0.7,0.0,0.3,0.0
2,0.0,0.0,0.0,0.0,0.0,0.7,0.3
1,0.0,0.0,0.0,0.7,0.0,0.3,0.0
1,0.0,0.0,0.0,0.2,0.0,0.7,0.1
4,0.0,0.0,0.7,0.3,0.0,0.0,0.0
4,0.0,0.0,0.5,0.0,0.3,0.2,0.0
4,0.0,0.0,0.8,0.0,0.0,0.2,0.0
4,0.0,0.0,0.6,0.1,0.0,0.3,0.0
5,0.0,0.0,0.0,0.25,0.0,0.0,0.75
1,0.0,0.0,0.0,0.5,0.0,0.0,0.5
