Номер_куба,0,1,2,3,4,5,6
2,0.0,0.0,0.0,0.4,0.0,0.6,0.0
3,0.0,0.3,0.2,0.0,0.5,0.0,0.0
3,0.0,0.0,0.35,0.0,0.55,0.1,0.0
2,0.0,0.0,0.6,0.0,0.0,0.4,0.0
4,0.0,0.0,0.7,0.3,0.0,0.0,0.0
0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.6,0.0,0.0,0.4
5,0.0,0.0,0.0,0.3,0.15,0.0,0.55
5,0.0,0.0,0.0,0.3,0.3,0.0,0.4
1,0.0,0.5,0.0,0.5,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,0.0,0.0,0.4,0.2,0.0,0.4,0.0
0,0.4,0.0,0.4,0.2,0.0,0.0,0.0
3,0.0,0.0,0.3,0.0,0.7,0.0,0.0
4,0.0,0.0,0.8,0.0,0.1,0.1,0.0
2,0.0,0.0,0.0,0.4,0.0,0.3,0.3
5,0.0,0.0,0.25,0.1,0.0,0.0,0.65
2,0.0,0.0,0.0,0.0,0.5,0.5,0.0
0,0.3,0.7,0.0,0.0,0.0,0.0,0.0
5,0.4,0.0,0.0,0.0,0.0,0.0,0.6
5,0.1,0.0,0.0,0.1,0.0,0.0,0.8
2,0.0,0.0,0.0,0.2,0.0,0.8,0.0
2,0.0,0.0,0.0,0.0,0.0,0.6,0.4
5,0.0,0.0,0.4,0.0,0.2,0.0,0.4
3,0.0,0.0,0.45,0.0,0.45,0.1,0.0
3,0.0,0.0,0.5,0.0,0.2,0.3,0.0
3,0.0,0.0,0.5,0.0,0.3,0.2,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.1,0.0,0.5,0.0,0.4,0.0
3,0.0,0.0,0.5,0.0,0.4,0.1,0.0
4,0.0,0.0,0.65,0.0,0.0,0.35,0.0
5,0.1,0.0,0.0,0.0,0.0,0.2,0.7
5,0.0,0.0,0.4,0.0,0.0,0.0,0.6
1,0.0,0.0,0.0,0.5,0.0,0.5,0.0
1,0.0,0.0,0.0,0.5,0.0,0.5,0.0
0,0.0,0.0,0.0,0.0,0.4,0.6,0.0
3,0.0,0.0,0.3,0.0,0.5,0.0,0.2
