Номер_куба,0,1,2,3,4,5,6
2,0.0,0.0,0.0,0.0,0.3,0.0,0.7
4,0.0,0.4,0.3,0.3,0.0,0.0,0.0
1,0.0,0.0,0.3,0.4,0.0,0.3,0.0
1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.35,0.0,0.15,0.5
3,0.0,0.0,0.1,0.0,0.5,0.4,0.0
5,0.0,0.0,0.2,0.1,0.0,0.0,0.7
5,0.0,0.0,0.0,0.35,0.0,0.0,0.65
4,0.0,0.0,0.7,0.0,0.2,0.1,0.0
4,0.0,0.0,0.55,0.15,0.0,0.3,0.0
0,0.0,0.0,0.0,0.0,0.3,0.0,0.7
3,0.0,0.0,0.35,0.0,0.5,0.0,0.15
5,0.0,0.25,0.0,0.0,0.0,0.0,0.75
5,0.0,0.0,0.0,0.3,0.2,0.0,0.5
0,0.2,0.0,0.8,0.0,0.0,0.0,0.0
4,0.0,0.2,0.5,0.1,0.0,0.0,0.2
4,0.0,0.0,0.55,0.1,0.0,0.35,0.0
0,0.0,0.0,0.0,0.6,0.0,0.0,0.4
4,0.2,0.0,0.8,0.0,0.0,0.0,0.0
2,0.0,0.0,0.7,0.0,0.0,0.3,0.0
2,0.0,0.0,0.0,0.5,0.0,0.5,0.0
5,0.0,0.0,0.5,0.0,0.0,0.0,0.5
4,0.0,0.0,0.5,0.3,0.2,0.0,0.0
1,0.0,0.0,0.5,0.2,0.0,0.3,0.0
3,0.0,0.0,0.7,0.0,0.2,0.1,0.0
4,0.0,0.0,0.7,0.3,0.0,0.0,0.0
0,0.6,0.0,0.0,0.0,0.0,0.4,0.0
0,0.0,0.7,0.0,0.0,0.0,0.3,0.0
